gridId,geometry
1,"POLYGON ((-87.9444 41.6387, -87.9255 41.6387, -87.9255 41.6242, -87.9444 41.6242, -87.9444 41.6387))"
2,"POLYGON ((-87.9255 41.6387, -87.9067 41.6387, -87.9067 41.6242, -87.9255 41.6242, -87.9255 41.6387))"
3,"POLYGON ((-87.9067 41.6387, -87.8878 41.6387, -87.8878 41.6242, -87.9067 41.6242, -87.9067 41.6387))"
4,"POLYGON ((-87.8878 41.6387, -87.8689 41.6387, -87.8689 41.6242, -87.8878 41.6242, -87.8878 41.6387))"
5,"POLYGON ((-87.8689 41.6387, -87.84999999999999 41.6387, -87.84999999999999 41.6242, -87.8689 41.6242, -87.8689 41.6387))"
6,"POLYGON ((-87.84999999999999 41.6387, -87.8312 41.6387, -87.8312 41.6242, -87.84999999999999 41.6242, -87.84999999999999 41.6387))"
7,"POLYGON ((-87.8312 41.6387, -87.81229999999999 41.6387, -87.81229999999999 41.6242, -87.8312 41.6242, -87.8312 41.6387))"
8,"POLYGON ((-87.81229999999999 41.6387, -87.79340000000001 41.6387, -87.79340000000001 41.6242, -87.81229999999999 41.6242, -87.81229999999999 41.6387))"
9,"POLYGON ((-87.79340000000001 41.6387, -87.77460000000001 41.6387, -87.77460000000001 41.6242, -87.79340000000001 41.6242, -87.79340000000001 41.6387))"
10,"POLYGON ((-87.77460000000001 41.6387, -87.7557 41.6387, -87.7557 41.6242, -87.77460000000001 41.6242, -87.77460000000001 41.6387))"
11,"POLYGON ((-87.7557 41.6387, -87.7368 41.6387, -87.7368 41.6242, -87.7557 41.6242, -87.7557 41.6387))"
12,"POLYGON ((-87.7368 41.6387, -87.718 41.6387, -87.718 41.6242, -87.7368 41.6242, -87.7368 41.6387))"
13,"POLYGON ((-87.718 41.6387, -87.6991 41.6387, -87.6991 41.6242, -87.718 41.6242, -87.718 41.6387))"
14,"POLYGON ((-87.6991 41.6387, -87.6802 41.6387, -87.6802 41.6242, -87.6991 41.6242, -87.6991 41.6387))"
15,"POLYGON ((-87.6802 41.6387, -87.6614 41.6387, -87.6614 41.6242, -87.6802 41.6242, -87.6802 41.6387))"
16,"POLYGON ((-87.6614 41.6387, -87.6425 41.6387, -87.6425 41.6242, -87.6614 41.6242, -87.6614 41.6387))"
17,"POLYGON ((-87.6425 41.6387, -87.6236 41.6387, -87.6236 41.6242, -87.6425 41.6242, -87.6425 41.6387))"
