OBJECTID,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAM,POINT_X,POINT_Y
193,6696.0,"TAYLOR","THROOP","EB","NS","157","","CHICAGO",1,"Taylor & Throop",-87.65929365,41.86931425
194,22.0,"JACKSON","KARLOV","EB","FS","126","","CHICAGO",1,"Jackson & Karlov",-87.72780787,41.8770066
195,4767.0,"FOSTER","MONTICELLO","EB","NS","92","","CHICAGO",1,"Foster & Monticello",-87.71978,41.975526
196,6057.0,"ASHLAND","CERMAK/BLUE ISLAND","SB","NS","9,X9","N9","CHICAGO",1,"Ashland & Cermak/Blue Island",-87.66617293,41.85248368
197,1790.0,"CLARK","ALBION","SB","NS","22","N22","CHICAGO",1,"Clark & Albion",-87.67198065,42.00178504
198,1847.0,"CLARK","BURTON","SB","NS","22,36","N22","CHICAGO",1,"Clark & Burton",-87.631719,41.909497
199,11474.0,"RIDGE","BROADWAY/BRYN MAWR","NWB","FS","84","","CHICAGO",1,"Ridge & Broadway/Bryn Mawr",-87.660447,41.983932
200,1368.0,"LINCOLN","BERWYN","SEB","NS","11","","CHICAGO",1,"Lincoln & Berwyn",-87.692578,41.977713
201,11877.0,"CALIFORNIA","DEVON","SB","NS","93","","CHICAGO",1,"California & Devon",-87.69972827,41.99764619
202,3718.0,"HALSTED","115TH STREET","SB","NS","8A,108","","CHICAGO",1,"Halsted & 115th Street",-87.64227929,41.68519279
203,5173.0,"RACINE","60TH STREET","SB","NS","44","","CHICAGO",1,"Racine & 60th Street",-87.65469488,41.78513736
204,5182.0,"RACINE","68TH STREET","SB","NS","44","","CHICAGO",1,"Racine & 68th Street",-87.65434201,41.77057756
205,7543.0,"MICHIGAN","110TH STREET","SB","NS","34,119","N34","CHICAGO",1,"Michigan & 110th Street",-87.62086382,41.6945046
206,10235.0,"CICERO","IOWA","SB","NS","54","","CHICAGO",1,"Cicero & Iowa",-87.74591,41.896936
207,4525.0,"ARCHER","MAJOR (west leg)","SWB","NS","62,62H","","CHICAGO",1,"Archer & Major",-87.76464595,41.79544108
208,5368.0,"BROADWAY","SURF (north leg)","SB","NS","36","","CHICAGO",1,"Broadway & Surf",-87.64431034,41.93492829
209,9925.0,"NORTHWEST HWY","OVERHILL","SEB","FS","68","","CHICAGO",1,"Northwest Hwy & Overhill",-87.81870908,42.00432736
210,9936.0,"NORTHWEST HWY","NIAGARA","SEB","FT","68","","CHICAGO",1,"Northwest Hwy & Niagara",-87.8008397,41.99339964
211,16069.0,"CICERO","PERSHING","SB","FS","54B","","CHICAGO",1,"Cicero & Pershing",-87.74369328,41.82179553
212,2259.0,"KING DRIVE","90TH STREET","SB","FS","3","","CHICAGO",1,"King Drive & 90th Street",-87.61445367,41.73096625
213,14102.0,"JEFFERSON PARK","BLUE LINE STATION/SOUTH B","SWB","TERM","81","N81","CHICAGO",1,"Jefferson Park Transit Center",-87.76185025,41.96984927
214,7058.0,"S. SHORE DRIVE","77TH STREET","SB","FS","N5,6,26,71","N5","CHICAGO",1,"S. Shore Drive & 77th Street",-87.55339915,41.75689547
215,5353.0,"BROADWAY","CULLOM","SB","MT","36","","CHICAGO",1,"Broadway & Cullom",-87.654145,41.960081
216,6488.0,"WENTWORTH","CERMAK","NB","NS","24","","CHICAGO",1,"Wentworth & Cermak",-87.63191809,41.85269836
217,5710.0,"IRVING PARK","KEYSTONE","WB","NS","80","","CHICAGO",1,"Irving Park & Keystone (Blue Line)",-87.72903944,41.95374569
218,5314.0,"67TH STREET","EAST END","WB","NT","N5,6,15,67","N5","CHICAGO",1,"67th Street & East End",-87.58383046,41.77341842
219,4723.0,"JACKSON","CAMPBELL","WB","NS","126","","CHICAGO",1,"Jackson & Campbell",-87.68868467,41.87759071
220,8099.0,"47TH STREET","ALBANY","WB","NS","47","","CHICAGO",1,"47th Street & Albany",-87.70140483,41.80822289
221,237.0,"CONGRESS","KARLOV","WB","NS","7","","CHICAGO",1,"Congress & Karlov",-87.72774701,41.87439868
222,458.0,"MADISON","PEORIA","WB","NS","20","N20","CHICAGO",1,"Madison & Peoria",-87.649477,41.8818
223,9688.0,"LAWRENCE","MENARD (west leg)","WB","NS","81W,91","","CHICAGO",1,"Lawrence & Menard",-87.772711,41.967761
224,10122.0,"71ST STREET","SPAULDING","WB","NT","67","","CHICAGO",1,"71st Street & Spaulding",-87.7052,41.764399
225,335.0,"ROOSEVELT","MAY","WB","NS","12","","CHICAGO",1,"Roosevelt & May",-87.65499111,41.86711341
226,9749.0,"LAWRENCE","PROSPECT","WB","FS","81W","","NORRIDGE",1,"Lawrence & Prospect",-87.83101847,41.96676517
227,7997.0,"43RD STREET","COTTAGE GROVE","WB","NS","43","","CHICAGO",1,"43rd Street & Cottage Grove",-87.60657472,41.81688172
228,9517.0,"87TH STREET","ALBANY","WB","NT","87","","CHICAGO",1,"87th Street & Albany",-87.69960034,41.7353777
229,7586.0,"131ST STREET","RHODES","WB","MT","34","N34","CHICAGO",1,"131st Street & Rhodes",-87.609601,41.657499
230,4132.0,"ARMITAGE","4600 WEST","WB","MB","73","","CHICAGO",1,"4600 W Armitage",-87.74183673,41.91705044
231,14681.0,"CENTRAL STREET","RIDGE","WB","NS","201","","EVANSTON",2,"Central Street & Ridge",-87.68329,42.06417
232,9687.0,"LAWRENCE","MAJOR (west leg)","WB","NS","81W,91","","CHICAGO",1,"Lawrence & Major",-87.770069,41.967801
233,5379.0,"STATE","HURON","SB","NS","36","","CHICAGO",1,"State & Huron",-87.628241,41.895007
234,12609.0,"ADDISON","MELVINA","WB","NS","152","","CHICAGO",1,"Addison & Melvina",-87.78122829,41.94575459
