ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7870071,HT100317,01/01/2011 12:15:00 AM,008XX E 79TH ST,0460,BATTERY,SIMPLE,CTA BUS,true,false,0624,006,6,69,08B,1183016,1852803,2011,02/04/2016 06:33:39 AM,41.751291477,-87.604904392,"(41.751291477, -87.604904392)"
7869621,HT100175,01/01/2011 01:30:00 AM,001XX N STATE ST,0560,ASSAULT,SIMPLE,CTA PLATFORM,false,false,0122,001,42,32,08A,1176353,1900882,2011,02/04/2016 06:33:39 AM,41.883376682,-87.627874384,"(41.883376682, -87.627874384)"
7869647,HT100156,01/01/2011 01:45:00 AM,011XX W 69TH ST,0460,BATTERY,SIMPLE,CTA BUS,false,false,0724,007,17,68,08B,1170090,1859051,2011,02/04/2016 06:33:39 AM,41.768727336,-87.652090375,"(41.768727336, -87.652090375)"
7869682,HT100176,01/01/2011 02:00:00 AM,0000X S STATE ST,0810,THEFT,OVER $500,CTA TRAIN,false,false,0123,001,42,32,06,1176390,1900219,2011,02/04/2016 06:33:39 AM,41.881556538,-87.627758535,"(41.881556538, -87.627758535)"
7870254,HT101146,01/01/2011 02:00:00 AM,009XX W FULLERTON AVE,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,1812,018,43,7,06,1169577,1916141,2011,02/04/2016 06:33:39 AM,41.925398449,-87.652311296,"(41.925398449, -87.652311296)"
7869713,HT100235,01/01/2011 02:30:00 AM,009XX W FULLERTON AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,CTA TRAIN,false,false,1812,018,43,7,17,1169577,1916141,2011,02/04/2016 06:33:39 AM,41.925398449,-87.652311296,"(41.925398449, -87.652311296)"
7870065,HT100800,01/01/2011 02:40:00 AM,0000X W 79TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA BUS STOP,false,true,0623,006,6,44,08B,1177483,1852629,2011,02/04/2016 06:33:39 AM,41.750940757,-87.625185222,"(41.750940757, -87.625185222)"
7869656,HT100245,01/01/2011 02:50:00 AM,015XX W CHICAGO AVE,0460,BATTERY,SIMPLE,CTA BUS,false,false,1323,012,1,24,08B,1165806,1905429,2011,02/04/2016 06:33:39 AM,41.896085375,-87.666473716,"(41.896085375, -87.666473716)"
7869657,HT100301,01/01/2011 03:30:00 AM,008XX W NORTH AVE,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,1822,018,43,8,06,1170480,1910867,2011,02/04/2016 06:33:39 AM,41.910906593,-87.649147871,"(41.910906593, -87.649147871)"
7869735,HT100292,01/01/2011 03:30:00 AM,002XX S STATE ST,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,CTA TRAIN,false,false,0123,001,42,32,03,1176411,1899396,2011,02/04/2016 06:33:39 AM,41.879297705,-87.627706271,"(41.879297705, -87.627706271)"
7872988,HT103553,01/01/2011 04:00:00 AM,022XX N CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,1414,014,35,22,06,1157337,1914762,2011,02/04/2016 06:33:39 AM,41.921872317,-87.697324496,"(41.921872317, -87.697324496)"
7869744,HT100371,01/01/2011 04:23:00 AM,063XX N BROADWAY,0460,BATTERY,SIMPLE,CTA BUS,true,false,2433,024,40,77,08B,1167151,1942254,2011,02/04/2016 06:33:39 AM,41.997106025,-87.660472077,"(41.997106025, -87.660472077)"
7869874,HT100451,01/01/2011 05:30:00 AM,001XX N STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,false,false,0122,001,42,32,03,1176353,1900882,2011,02/04/2016 06:33:39 AM,41.883376682,-87.627874384,"(41.883376682, -87.627874384)"
7874466,HT105058,01/01/2011 06:03:00 AM,011XX S STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,false,false,0132,001,2,32,03,1176515,1895395,2011,02/04/2016 06:33:39 AM,41.868316374,-87.627445222,"(41.868316374, -87.627445222)"
7872408,HT100492,01/01/2011 06:40:00 AM,063XX S WOLCOTT AVE,0460,BATTERY,SIMPLE,CTA BUS,false,false,0726,007,15,67,08B,1164770,1862717,2011,02/04/2016 06:33:39 AM,41.778901304,-87.671487478,"(41.778901304, -87.671487478)"
7870094,HT100559,01/01/2011 08:45:00 AM,003XX W CHICAGO AVE,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,false,false,1823,018,27,8,03,1174084,1905671,2011,02/04/2016 06:33:39 AM,41.896568854,-87.636063322,"(41.896568854, -87.636063322)"
