"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00115922","42.07917","-87.94722","204.2","1995-06-01","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-02","0.05",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-03","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-04","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-05","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-06","0.33",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-07","0.12",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-08","0.01",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-09","0.09",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-10","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-11","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-12","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-13","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-14","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-15","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-16","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-17","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-18","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-19","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-20","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-21","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-22","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-23","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-24","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-25","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-26","0.02",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-27","1.82",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-28","0.20",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-29","0.01",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-06-30","0.01",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-01","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-02","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-03","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-04","1.25",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-05","0.01",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-06","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-07","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-08","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-09","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-10","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-11","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-12","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-13","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-14","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-15","0.09",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-16","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-17","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-07-18","0.00",,,,,
