"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"US1INPT0059","41.6276","-87.1843","189.0","2007-04-29","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-04-30","0.14",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-01","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-02","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-03","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-05","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-07","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-08","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-09","0.68",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-10","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-11","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-12","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-13","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-14","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-16","0.94",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-17","0.14",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-18","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-19","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-20","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-21","0.28",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-22","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-23","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-24","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-25","0.66",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-26","0.03",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-27","0.42",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-28","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-29","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-05-31","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-06-02","0.07",,,,
