"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"US1ILDP0098","41.784","-88.0168","229.5","2019-03-19","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-03-21",,,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-03-22","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-03-24","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-03-25","0.12",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-03-26","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-03-27","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-03-28","0.08",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-03-29","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-03-30","0.66",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-03-31","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-01","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-02","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-03","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-04","0.18",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-05","0.20",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-06","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-07","0.03",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-09","0.18",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-10","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-11","0.09",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-12","0.30",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-13","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-15",,,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-16","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-17","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-18","0.11",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-19","0.36",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-20","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-21","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-22","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-23","0.18",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-24","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-25","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-26","0.20",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-27","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-28","1.11",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-29","0.79",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-04-30","0.50",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-05-01","2.39",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-05-02","0.01",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-05-03","0.42",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-05-04","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-05-05","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-05-06","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-05-07","0.72",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-05-08","0.09",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-05-09","1.09",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-05-10","0.01",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-05-11","0.00",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-05-12","0.12",,,,
"US1ILDP0098","41.784","-88.0168","229.5","2019-05-13","0.10",,,,
